source,product_key,observed_id,product_name,audience,category_path,depth1_name,depth1_code,depth2_name,depth2_code,depth3_name,depth3_code,depth4_name,depth4_code,evidence_url,evidence_source,breadcrumb_evidence_json,unresolved_reason
musinsa,3298849,,,,바지 > 코튼 팬츠,바지,003,코튼 팬츠,003007,,,,,https://goods-detail.musinsa.com/api2/goods/3298849,musinsa_detail_api,,
musinsa,3776694,,,,아우터 > 나일론/코치 재킷,아우터,002,나일론/코치 재킷,002006,,,,,https://goods-detail.musinsa.com/api2/goods/3776694,musinsa_detail_api,,
musinsa,3791988,,,,바지 > 데님 팬츠,바지,003,데님 팬츠,003002,,,,,https://goods-detail.musinsa.com/api2/goods/3791988,musinsa_detail_api,,
musinsa,3812607,,,,상의 > 반소매 티셔츠,상의,001,반소매 티셔츠,001001,,,,,https://goods-detail.musinsa.com/api2/goods/3812607,musinsa_detail_api,,
musinsa,4043491,,,,원피스/스커트 > 미니원피스,원피스/스커트,100,미니원피스,100001,,,,,https://goods-detail.musinsa.com/api2/goods/4043491,musinsa_detail_api,,
uniqlo,E422992,E422992-000,,MEN,티셔츠 & 스웨트셔츠 & UT > 티셔츠 (반팔 & 긴팔) > 반팔,티셔츠 & 스웨트셔츠 & UT,57967,티셔츠 (반팔 & 긴팔),58039,반팔,58395,,,https://www.uniqlo.com/kr/ko/products/E422992-000/00,uniqlo_hydration,"[{""role"":""gender"",""id"":""57893"",""name"":""men"",""locale"":""MEN"",""level"":1,""raw_order"":0},{""role"":""class"",""id"":""57967"",""name"":""tops"",""locale"":""티셔츠 & 스웨트셔츠 & UT"",""level"":2,""raw_order"":1},{""role"":""category"",""id"":""58039"",""name"":""t shirts"",""locale"":""티셔츠 (반팔 & 긴팔)"",""level"":3,""raw_order"":2},{""role"":""subcategory"",""id"":""58395"",""name"":""short sleeve"",""locale"":""반팔"",""level"":4,""raw_order"":3}]",
uniqlo,E424873,E424873-000,,WOMEN,티셔츠 & UT > 티셔츠 (반팔 & 긴팔) > 반팔,티셔츠 & UT,57959,티셔츠 (반팔 & 긴팔),57995,반팔,58144,,,https://www.uniqlo.com/kr/ko/products/E424873-000/00,uniqlo_hydration,"[{""role"":""gender"",""id"":""57892"",""name"":""women"",""locale"":""WOMEN"",""level"":1,""raw_order"":0},{""role"":""class"",""id"":""57959"",""name"":""tops"",""locale"":""티셔츠 & UT"",""level"":2,""raw_order"":1},{""role"":""category"",""id"":""57995"",""name"":""t shirts"",""locale"":""티셔츠 (반팔 & 긴팔)"",""level"":3,""raw_order"":2},{""role"":""subcategory"",""id"":""58144"",""name"":""half sleeve"",""locale"":""반팔"",""level"":4,""raw_order"":3}]",
uniqlo,E444557,E444557-000,,MEN,아우터 > 감탄 재킷 > 감탄 재킷 (라이트),아우터,57966,감탄 재킷,58036,감탄 재킷 (라이트),58376,,,https://www.uniqlo.com/kr/ko/products/E444557-000/00,uniqlo_hydration,"[{""role"":""gender"",""id"":""57893"",""name"":""men"",""locale"":""MEN"",""level"":1,""raw_order"":0},{""role"":""class"",""id"":""57966"",""name"":""outerwear"",""locale"":""아우터"",""level"":2,""raw_order"":1},{""role"":""category"",""id"":""58036"",""name"":""gamtan jackets"",""locale"":""감탄 재킷"",""level"":3,""raw_order"":2},{""role"":""subcategory"",""id"":""58376"",""name"":""cotton"",""locale"":""감탄 재킷 (라이트)"",""level"":4,""raw_order"":3}]",
uniqlo,E444557,E444557-001,,MEN,아우터 > 감탄 재킷 > 감탄 재킷 (라이트),아우터,57966,감탄 재킷,58036,감탄 재킷 (라이트),58376,,,https://www.uniqlo.com/kr/ko/products/E444557-001/00,uniqlo_hydration,"[{""role"":""gender"",""id"":""57893"",""name"":""men"",""locale"":""MEN"",""level"":1,""raw_order"":0},{""role"":""class"",""id"":""57966"",""name"":""outerwear"",""locale"":""아우터"",""level"":2,""raw_order"":1},{""role"":""category"",""id"":""58036"",""name"":""gamtan jackets"",""locale"":""감탄 재킷"",""level"":3,""raw_order"":2},{""role"":""subcategory"",""id"":""58376"",""name"":""cotton"",""locale"":""감탄 재킷 (라이트)"",""level"":4,""raw_order"":3}]",
uniqlo,E448034,E448034-000,,MEN,아우터 > 감탄 재킷 > 감탄 재킷,아우터,57966,감탄 재킷,58036,감탄 재킷,58375,,,https://www.uniqlo.com/kr/ko/products/E448034-000/00,uniqlo_hydration,"[{""role"":""gender"",""id"":""57893"",""name"":""men"",""locale"":""MEN"",""level"":1,""raw_order"":0},{""role"":""class"",""id"":""57966"",""name"":""outerwear"",""locale"":""아우터"",""level"":2,""raw_order"":1},{""role"":""category"",""id"":""58036"",""name"":""gamtan jackets"",""locale"":""감탄 재킷"",""level"":3,""raw_order"":2},{""role"":""subcategory"",""id"":""58375"",""name"":""wool"",""locale"":""감탄 재킷"",""level"":4,""raw_order"":3}]",
