source,product_key,observed_id,color_code,category_path,category_url,evidence_url,evidence_type
musinsa,5990761,5990761,,아우터 > 나일론 > 코치 재킷,,https://goods-detail.musinsa.com/api2/goods/5990761,restored_survey
musinsa,6227070,6227070,,아우터 > 카디건,,https://goods-detail.musinsa.com/api2/goods/6227070,restored_survey
musinsa,5626716,5626716,,아우터 > 카디건,,https://goods-detail.musinsa.com/api2/goods/5626716,restored_survey
musinsa,5973119,5973119,,아우터 > 나일론 > 코치 재킷,,https://goods-detail.musinsa.com/api2/goods/5973119,restored_survey
musinsa,5345115,5345115,,아우터 > 후드 집업,,https://goods-detail.musinsa.com/api2/goods/5345115,restored_survey
musinsa,3776694,3776694,,아우터 > 나일론 > 코치 재킷,,https://goods-detail.musinsa.com/api2/goods/3776694,restored_survey
musinsa,4795032,4795032,,아우터 > 나일론 > 코치 재킷,,https://goods-detail.musinsa.com/api2/goods/4795032,restored_survey
musinsa,6593581,6593581,,아우터 > 카디건,,https://goods-detail.musinsa.com/api2/goods/6593581,restored_survey
musinsa,6794273,6794273,,아우터 > 후드 집업,,https://goods-detail.musinsa.com/api2/goods/6794273,restored_survey
musinsa,1803462,1803462,,아우터 > 슈트 > 블레이저 재킷,,https://goods-detail.musinsa.com/api2/goods/1803462,restored_survey
musinsa,6458651,6458651,,아우터 > 카디건,,https://goods-detail.musinsa.com/api2/goods/6458651,restored_survey
musinsa,6402661,6402661,,아우터 > 카디건,,https://goods-detail.musinsa.com/api2/goods/6402661,restored_survey
musinsa,6806873,6806873,,아우터 > 후드 집업,,https://goods-detail.musinsa.com/api2/goods/6806873,restored_survey
musinsa,4651436,4651436,,아우터 > 카디건,,https://goods-detail.musinsa.com/api2/goods/4651436,restored_survey
musinsa,6291325,6291325,,아우터 > 카디건,,https://goods-detail.musinsa.com/api2/goods/6291325,restored_survey
musinsa,5178636,5178636,,아우터 > 카디건,,https://goods-detail.musinsa.com/api2/goods/5178636,restored_survey
musinsa,6127741,6127741,,아우터 > 카디건,,https://goods-detail.musinsa.com/api2/goods/6127741,restored_survey
musinsa,5097306,5097306,,아우터 > 슈트 > 블레이저 재킷,,https://goods-detail.musinsa.com/api2/goods/5097306,restored_survey
musinsa,5329361,5329361,,아우터 > 후드 집업,,https://goods-detail.musinsa.com/api2/goods/5329361,restored_survey
musinsa,6219777,6219777,,아우터 > 나일론 > 코치 재킷,,https://goods-detail.musinsa.com/api2/goods/6219777,restored_survey
musinsa,6426535,6426535,,아우터 > 후드 집업,,https://goods-detail.musinsa.com/api2/goods/6426535,restored_survey
musinsa,6048605,6048605,,아우터 > 트레이닝 재킷,,https://goods-detail.musinsa.com/api2/goods/6048605,restored_survey
musinsa,3972476,3972476,,아우터 > 카디건,,https://goods-detail.musinsa.com/api2/goods/3972476,restored_survey
musinsa,5283519,5283519,,아우터 > 카디건,,https://goods-detail.musinsa.com/api2/goods/5283519,restored_survey
musinsa,6326050,6326050,,아우터 > 카디건,,https://goods-detail.musinsa.com/api2/goods/6326050,restored_survey
musinsa,5695795,5695795,,아우터 > 카디건,,https://goods-detail.musinsa.com/api2/goods/5695795,restored_survey
musinsa,4619961,4619961,,아우터 > 슈트 > 블레이저 재킷,,https://goods-detail.musinsa.com/api2/goods/4619961,restored_survey
musinsa,6670811,6670811,,스포츠 > 레저 > 아우터 > 나일론 > 코치 재킷,,https://goods-detail.musinsa.com/api2/goods/6670811,restored_survey
musinsa,6401860,6401860,,아우터 > 카디건,,https://goods-detail.musinsa.com/api2/goods/6401860,restored_survey
musinsa,5479465,5479465,,아우터 > 경량 패딩 > 패딩 베스트 > 경량 패딩,,https://goods-detail.musinsa.com/api2/goods/5479465,restored_survey
musinsa,6111537,6111537,,아우터 > 슈트 > 블레이저 재킷,,https://goods-detail.musinsa.com/api2/goods/6111537,restored_survey
musinsa,4109246,4109246,,아우터 > 나일론 > 코치 재킷,,https://goods-detail.musinsa.com/api2/goods/4109246,restored_survey
musinsa,3790852,3790852,,아우터 > 나일론 > 코치 재킷,,https://goods-detail.musinsa.com/api2/goods/3790852,restored_survey
musinsa,6271693,6271693,,아우터 > 트레이닝 재킷,,https://goods-detail.musinsa.com/api2/goods/6271693,restored_survey
musinsa,6314223,6314223,,아우터 > 카디건,,https://goods-detail.musinsa.com/api2/goods/6314223,restored_survey
musinsa,1558197,1558197,,아우터 > 슈트 > 블레이저 재킷,,https://goods-detail.musinsa.com/api2/goods/1558197,restored_survey
musinsa,5894308,5894308,,아우터 > 경량 패딩 > 패딩 베스트 > 경량 패딩,,https://goods-detail.musinsa.com/api2/goods/5894308,restored_survey
musinsa,4800605,4800605,,아우터 > 슈트 > 블레이저 재킷,,https://goods-detail.musinsa.com/api2/goods/4800605,restored_survey
musinsa,6719352,6719352,,바지 > 데님 팬츠,,https://goods-detail.musinsa.com/api2/goods/6719352,restored_survey
musinsa,6724257,6724257,,바지 > 데님 팬츠,,https://goods-detail.musinsa.com/api2/goods/6724257,restored_survey
musinsa,6609200,6609200,,바지 > 코튼 팬츠,,https://goods-detail.musinsa.com/api2/goods/6609200,restored_survey
musinsa,2578996,2578996,,바지 > 슈트 팬츠 > 슬랙스,,https://goods-detail.musinsa.com/api2/goods/2578996,restored_survey
musinsa,6829724,6829724,,바지 > 기타 하의,,https://goods-detail.musinsa.com/api2/goods/6829724,restored_survey
musinsa,6461382,6461382,,바지 > 코튼 팬츠,,https://goods-detail.musinsa.com/api2/goods/6461382,restored_survey
musinsa,5987009,5987009,,바지 > 트레이닝 > 조거 팬츠,,https://goods-detail.musinsa.com/api2/goods/5987009,restored_survey
musinsa,6837218,6837218,,바지 > 기타 하의,,https://goods-detail.musinsa.com/api2/goods/6837218,restored_survey
musinsa,6518709,6518709,,바지 > 기타 하의,,https://goods-detail.musinsa.com/api2/goods/6518709,restored_survey
musinsa,2796118,2796118,,바지 > 데님 팬츠,,https://goods-detail.musinsa.com/api2/goods/2796118,restored_survey
musinsa,750908,750908,,바지 > 슈트 팬츠 > 슬랙스,,https://goods-detail.musinsa.com/api2/goods/750908,restored_survey
