source,product_key,product_name,audience,category_path,depth1_name,depth1_code,depth2_name,depth2_code,depth3_name,depth3_code,depth4_name,depth4_code,evidence_url
musinsa,6693866,피그먼트 세미 크롭 라운드 반팔 티셔츠_CHARCOAL,남성,상의 > 반소매 티셔츠,상의,001,반소매 티셔츠,001001,,,,,https://goods-detail.musinsa.com/api2/goods/6693866
musinsa,4093932,모먼트 워시드 하프셔츠(4COL),남성,상의 > 셔츠 > 블라우스,상의,001,셔츠/블라우스,001002,,,,,https://goods-detail.musinsa.com/api2/goods/4093932
musinsa,6704378,Gildan X 디자인컬렉션 세미 크롭티셔츠 모음전,남성,상의 > 반소매 티셔츠,상의,001,반소매 티셔츠,001001,,,,,https://goods-detail.musinsa.com/api2/goods/6704378
musinsa,6755261,레이스 트리밍 저지탑 그레이,여성,상의 > 반소매 티셔츠,상의,001,반소매 티셔츠,001001,,,,,https://goods-detail.musinsa.com/api2/goods/6755261
musinsa,6656633,[Pokémon] 슬리핑 잠만보 티셔츠 [애쉬 그레이],남성,상의 > 반소매 티셔츠,상의,001,반소매 티셔츠,001001,,,,,https://goods-detail.musinsa.com/api2/goods/6656633
musinsa,4739114,LOT.051 튜뷸러 티셔츠 더 프레쉬 맨,남성,상의 > 반소매 티셔츠,상의,001,반소매 티셔츠,001001,,,,,https://goods-detail.musinsa.com/api2/goods/4739114
musinsa,5897661,멀티 스트라이프 셔츠 (SKY BLUE),남성,상의 > 셔츠 > 블라우스,상의,001,셔츠/블라우스,001002,,,,,https://goods-detail.musinsa.com/api2/goods/5897661
musinsa,6715231,GLOWNY X MY MELODY BIG BOW BOXY TEE (WHITE),여성,상의 > 반소매 티셔츠,상의,001,반소매 티셔츠,001001,,,,,https://goods-detail.musinsa.com/api2/goods/6715231
musinsa,6786576,[빛오 x 일리오] Pink-Brown lace layered cardigan set,여성,상의 > 기타 상의,상의,001,기타 상의,001008,,,,,https://goods-detail.musinsa.com/api2/goods/6786576
musinsa,5310167,롤업 체크 셔츠 블랙,남성,상의 > 셔츠 > 블라우스,상의,001,셔츠/블라우스,001002,,,,,https://goods-detail.musinsa.com/api2/goods/5310167
musinsa,6656596,[Pokémon] 리피트 팬텀 롱 슬리브 [블랙],남성,상의 > 긴소매 티셔츠,상의,001,긴소매 티셔츠,001010,,,,,https://goods-detail.musinsa.com/api2/goods/6656596
musinsa,6609390,EL 갬블 래글런 라인 반팔티셔츠 5Color,남성,상의 > 반소매 티셔츠,상의,001,반소매 티셔츠,001001,,,,,https://goods-detail.musinsa.com/api2/goods/6609390
musinsa,6706361,(W) ZRS Symbol Applique Tee (MINT),여성,상의 > 반소매 티셔츠,상의,001,반소매 티셔츠,001001,,,,,https://goods-detail.musinsa.com/api2/goods/6706361
musinsa,6305662,엘로디 하프 체크 셔츠-블루,여성,상의 > 셔츠 > 블라우스,상의,001,셔츠/블라우스,001002,,,,,https://goods-detail.musinsa.com/api2/goods/6305662
musinsa,6768741,One-Shoulder T-shirt(F) / WHRPG3723F,여성,상의 > 반소매 티셔츠,상의,001,반소매 티셔츠,001001,,,,,https://goods-detail.musinsa.com/api2/goods/6768741
musinsa,6200629,에센셜 골지 하프 티-레몬,여성,상의 > 반소매 티셔츠,상의,001,반소매 티셔츠,001001,,,,,https://goods-detail.musinsa.com/api2/goods/6200629
musinsa,4513309,헤비 플리스 집업 후드 - 스카이 캡틴 / T4029683,여성,아우터 > 후드 집업,아우터,002,후드 집업,002022,,,,,https://goods-detail.musinsa.com/api2/goods/4513309
musinsa,6499914,포인텔 가디건 326540 [4color],여성,아우터 > 카디건,아우터,002,카디건,002020,,,,,https://goods-detail.musinsa.com/api2/goods/6499914
musinsa,4336062,파이어버드 니트 탑 - 블랙 / IY7278,여성,아우터 > 트레이닝 재킷,아우터,002,트레이닝 재킷,002018,,,,,https://goods-detail.musinsa.com/api2/goods/4336062
musinsa,4652853,[시티 레저] 에어웨이트 시어 윈드브레이커 재킷 [클라우디 블루],남성,아우터 > 나일론 > 코치 재킷,아우터,002,나일론/코치 재킷,002006,,,,,https://goods-detail.musinsa.com/api2/goods/4652853
musinsa,4719977,에어라이트 하이넥 윈드브레이커_크림,여성,아우터 > 나일론 > 코치 재킷,아우터,002,나일론/코치 재킷,002006,,,,,https://goods-detail.musinsa.com/api2/goods/4719977
musinsa,6319969,Airy Raglan Cardigan [Sky Blue],여성,아우터 > 카디건,아우터,002,카디건,002020,,,,,https://goods-detail.musinsa.com/api2/goods/6319969
musinsa,6695701,Molly V-neck hoodie - Loose ver.,여성,아우터 > 후드 집업,아우터,002,후드 집업,002022,,,,,https://goods-detail.musinsa.com/api2/goods/6695701
musinsa,5104486,썸머 시스루 니트 가디건_6COLOR(WC25-KN29),여성,아우터 > 카디건,아우터,002,카디건,002020,,,,,https://goods-detail.musinsa.com/api2/goods/5104486
musinsa,6273570,올데이 린넨 긴팔 골지가디건 RMCKG25R98,여성,아우터 > 카디건,아우터,002,카디건,002020,,,,,https://goods-detail.musinsa.com/api2/goods/6273570
musinsa,6005543,그리드 체크 라이트 윈드브레이커 Sky Blue,남성|여성,아우터 > 나일론 > 코치 재킷,아우터,002,나일론/코치 재킷,002006,,,,,https://goods-detail.musinsa.com/api2/goods/6005543
musinsa,2398609,우먼즈 라이트웨이트 크롭 반팔 블레이저 [블랙],여성,아우터 > 슈트 > 블레이저 재킷,아우터,002,슈트/블레이저 재킷,002003,,,,,https://goods-detail.musinsa.com/api2/goods/2398609
musinsa,6127744,[에센셜] 썸머 시스루 가디건_MIWCKG520T,여성,아우터 > 카디건,아우터,002,카디건,002020,,,,,https://goods-detail.musinsa.com/api2/goods/6127744
musinsa,6401861,린넨 시스루 골지 라운드 가디건 5 COLOR COWCD008,여성,아우터 > 카디건,아우터,002,카디건,002020,,,,,https://goods-detail.musinsa.com/api2/goods/6401861
musinsa,5980112,에센셜 라운드 니트 가디건 틸 블루,여성,아우터 > 카디건,아우터,002,카디건,002020,,,,,https://goods-detail.musinsa.com/api2/goods/5980112
musinsa,6480709,시그니처 시스루 바람막이,여성,아우터 > 나일론 > 코치 재킷,아우터,002,나일론/코치 재킷,002006,,,,,https://goods-detail.musinsa.com/api2/goods/6480709
musinsa,6026203,V넥 변형 자켓_MIWJKG311C MIWJKG51QC,여성,아우터 > 슈트 > 블레이저 재킷,아우터,002,슈트/블레이저 재킷,002003,,,,,https://goods-detail.musinsa.com/api2/goods/6026203
musinsa,4821229,메트로폴리스 퍼텍스 오버셔츠 재킷 - 블랙 / 18CLOS020A110033A999,남성,아우터 > 기타 아우터,아우터,002,기타 아우터,002015,,,,,https://goods-detail.musinsa.com/api2/goods/4821229
musinsa,6041618,후드 경량 세미 오버핏 바람막이 - 3color,남성,아우터 > 나일론 > 코치 재킷,아우터,002,나일론/코치 재킷,002006,,,,,https://goods-detail.musinsa.com/api2/goods/6041618
musinsa,6284785,시어서커 체크 윈드브레이커_SPJJG37C03,남성|여성,아우터 > 기타 아우터,아우터,002,기타 아우터,002015,,,,,https://goods-detail.musinsa.com/api2/goods/6284785
musinsa,2444810,[쿨탠다드] 릴렉스드 베이식 블레이저 [그레이],남성,아우터 > 슈트 > 블레이저 재킷,아우터,002,슈트/블레이저 재킷,002003,,,,,https://goods-detail.musinsa.com/api2/goods/2444810
musinsa,6721671,[우사하나] 크롭 후드 집업(Oatmeal Melange)_SPMZG37U06,남성,아우터 > 후드 집업,아우터,002,후드 집업,002022,,,,,https://goods-detail.musinsa.com/api2/goods/6721671
musinsa,5992470,T-Light Jacket Grey,남성|여성,아우터 > 나일론 > 코치 재킷,아우터,002,나일론/코치 재킷,002006,,,,,https://goods-detail.musinsa.com/api2/goods/5992470
musinsa,5990761,[시티 레저] 시어 윈드브레이커 재킷 [오렌지],남성|여성,아우터 > 나일론 > 코치 재킷,아우터,002,나일론/코치 재킷,002006,,,,,https://goods-detail.musinsa.com/api2/goods/5990761
musinsa,6227070,[ITALY] 펀칭 브이넥 하프 가디건 10 COLOR COWCD005,여성,아우터 > 카디건,아우터,002,카디건,002020,,,,,https://goods-detail.musinsa.com/api2/goods/6227070
musinsa,5626716,우먼즈 리브드 슬림 후디드 저지 가디건 [블랙],여성,아우터 > 카디건,아우터,002,카디건,002020,,,,,https://goods-detail.musinsa.com/api2/goods/5626716
musinsa,5973119,(W) 워터컬러 시어 윈드브레이커-스카이블루,여성,아우터 > 나일론 > 코치 재킷,아우터,002,나일론/코치 재킷,002006,,,,,https://goods-detail.musinsa.com/api2/goods/5973119
musinsa,5345115,R:SIGNET OVER FIT 2-WAY ZIP-UP (4color),여성,아우터 > 후드 집업,아우터,002,후드 집업,002022,,,,,https://goods-detail.musinsa.com/api2/goods/5345115
musinsa,3776694,에어라이트 래글런 윈드브레이커_블루,여성,아우터 > 나일론 > 코치 재킷,아우터,002,나일론/코치 재킷,002006,,,,,https://goods-detail.musinsa.com/api2/goods/3776694
musinsa,4795032,Steve Packable Windbreaker / WHJJG3711U,남성|여성,아우터 > 나일론 > 코치 재킷,아우터,002,나일론/코치 재킷,002006,,,,,https://goods-detail.musinsa.com/api2/goods/4795032
musinsa,6593581,우먼즈 슬럽 리브드 탑 가디건 세트 [아이보리],여성,아우터 > 카디건,아우터,002,카디건,002020,,,,,https://goods-detail.musinsa.com/api2/goods/6593581
musinsa,6794273,닉켈 동키 나그랑 후드집업,여성,아우터 > 후드 집업,아우터,002,후드 집업,002022,,,,,https://goods-detail.musinsa.com/api2/goods/6794273
musinsa,1803462,우먼즈 베이식 블레이저 [블랙],여성,아우터 > 슈트 > 블레이저 재킷,아우터,002,슈트/블레이저 재킷,002003,,,,,https://goods-detail.musinsa.com/api2/goods/1803462
musinsa,6458651,온도컷 쿨 에센셜 하프 가디건 [SAGE MINT] / GF2LKC541,여성,아우터 > 카디건,아우터,002,카디건,002020,,,,,https://goods-detail.musinsa.com/api2/goods/6458651
musinsa,6402661,링클 브이넥 크롭 가디건_2Colors,여성,아우터 > 카디건,아우터,002,카디건,002020,,,,,https://goods-detail.musinsa.com/api2/goods/6402661
musinsa,6806873,코튼 블렌디드 후드집업_블랙,여성,아우터 > 후드 집업,아우터,002,후드 집업,002022,,,,,https://goods-detail.musinsa.com/api2/goods/6806873
musinsa,4651436,우먼즈 리브드 슬림 스쿱 넥 저지 가디건 [멜란지 그레이],여성,아우터 > 카디건,아우터,002,카디건,002020,,,,,https://goods-detail.musinsa.com/api2/goods/4651436
musinsa,6291325,키린드 썸머 긴팔 가디건,여성,아우터 > 카디건,아우터,002,카디건,002020,,,,,https://goods-detail.musinsa.com/api2/goods/6291325
musinsa,5178636,골지 라운드 반팔 가디건 [블랙],남성,아우터 > 카디건,아우터,002,카디건,002020,,,,,https://goods-detail.musinsa.com/api2/goods/5178636
musinsa,6127741,[에센셜] 린넨 시스루 골지 가디건_MIWCKG510T MIWCKG74QT,여성,아우터 > 카디건,아우터,002,카디건,002020,,,,,https://goods-detail.musinsa.com/api2/goods/6127741
musinsa,5097306,[셋업] 에어플로우 루즈핏 블레이저 셋업,남성,아우터 > 슈트 > 블레이저 재킷,아우터,002,슈트/블레이저 재킷,002003,,,,,https://goods-detail.musinsa.com/api2/goods/5097306
musinsa,5329361,후드 집업 - 그레이:블랙 / KC9317,남성|여성,아우터 > 후드 집업,아우터,002,후드 집업,002022,,,,,https://goods-detail.musinsa.com/api2/goods/5329361
musinsa,6219777,NJ3BS07J 화이트라벨 아이스펄스 자켓 BLACK,남성,아우터 > 나일론 > 코치 재킷,아우터,002,나일론/코치 재킷,002006,,,,,https://goods-detail.musinsa.com/api2/goods/6219777
musinsa,6426535,피그먼트 4선 트랙 크롭 반팔 집업 후드 그레이,여성,아우터 > 후드 집업,아우터,002,후드 집업,002022,,,,,https://goods-detail.musinsa.com/api2/goods/6426535
musinsa,6048605,[UV차단] 라이트 체크 후드 윈드브레이커_SPJJG25G11,여성,아우터 > 트레이닝 재킷,아우터,002,트레이닝 재킷,002018,,,,,https://goods-detail.musinsa.com/api2/goods/6048605
musinsa,3972476,카멜리아 라운드넥 니트가디건 핑크,남성,아우터 > 카디건,아우터,002,카디건,002020,,,,,https://goods-detail.musinsa.com/api2/goods/3972476
musinsa,5283519,아이스 실키 브이넥 반팔 니트 가디건,여성,아우터 > 카디건,아우터,002,카디건,002020,,,,,https://goods-detail.musinsa.com/api2/goods/5283519
musinsa,6326050,26 SS 워셔블 케이블 라운드 크롭 니트 가디건 (6컬러),남성,아우터 > 카디건,아우터,002,카디건,002020,,,,,https://goods-detail.musinsa.com/api2/goods/6326050
musinsa,5695795,우먼즈 린넨 라이크 시어 저지 가디건 [블랙],여성,아우터 > 카디건,아우터,002,카디건,002020,,,,,https://goods-detail.musinsa.com/api2/goods/5695795
musinsa,4619961,우먼즈 라운드 넥 트위드 크롭 반소매 재킷 [블랙],여성,아우터 > 슈트 > 블레이저 재킷,아우터,002,슈트/블레이저 재킷,002003,,,,,https://goods-detail.musinsa.com/api2/goods/4619961
musinsa,6670811,솔라노 후디 남성 - BLACK / AJQSM09568,남성,스포츠 > 레저 > 아우터 > 나일론 > 코치 재킷,스포츠/레저,017,아우터,017018,나일론/코치 재킷,017018003,,,https://goods-detail.musinsa.com/api2/goods/6670811
musinsa,6401860,린넨 시스루 슬림 라운드 가디건 4 COLOR COWCD009,여성,아우터 > 카디건,아우터,002,카디건,002020,,,,,https://goods-detail.musinsa.com/api2/goods/6401860
musinsa,5479465,에센셜 후디드 라이트 패딩 자켓 (8color),남성,아우터 > 경량 패딩 > 패딩 베스트 > 경량 패딩,아우터,002,경량 패딩/패딩 베스트,002027,경량 패딩,002027001,,,https://goods-detail.musinsa.com/api2/goods/5479465
musinsa,6111537,[여름셋업]Motion-Free 쿨터치 셋업 세트_그레이 (슬렌더핏)_SEJVB07SET,남성,아우터 > 슈트 > 블레이저 재킷,아우터,002,슈트/블레이저 재킷,002003,,,,,https://goods-detail.musinsa.com/api2/goods/6111537
musinsa,4109246,스트링 시어 레이스 투웨이 자수 바람막이 긴팔 점퍼 _2COLOR,여성,아우터 > 나일론 > 코치 재킷,아우터,002,나일론/코치 재킷,002006,,,,,https://goods-detail.musinsa.com/api2/goods/4109246
musinsa,3790852,우먼즈 시어 후디드 윈드브레이커 재킷 [민트 그레이],여성,아우터 > 나일론 > 코치 재킷,아우터,002,나일론/코치 재킷,002006,,,,,https://goods-detail.musinsa.com/api2/goods/3790852
musinsa,6271693,헤리티지 저지 트랙탑 - 블랙,남성|여성,아우터 > 트레이닝 재킷,아우터,002,트레이닝 재킷,002018,,,,,https://goods-detail.musinsa.com/api2/goods/6271693
musinsa,6314223,Essential Linen Round Knit Cardigan_CTK231(16color),여성,아우터 > 카디건,아우터,002,카디건,002020,,,,,https://goods-detail.musinsa.com/api2/goods/6314223
musinsa,1558197,릴렉스드 베이식 블레이저 [블랙],남성,아우터 > 슈트 > 블레이저 재킷,아우터,002,슈트/블레이저 재킷,002003,,,,,https://goods-detail.musinsa.com/api2/goods/1558197
musinsa,5894308,[W]후드 경량 덕 다운 패딩 점퍼 - 2color,여성,아우터 > 경량 패딩 > 패딩 베스트 > 경량 패딩,아우터,002,경량 패딩/패딩 베스트,002027,경량 패딩,002027001,,,https://goods-detail.musinsa.com/api2/goods/5894308
musinsa,4800605,[여름/사계절] 시비코 세미 오버핏 싱글 셋업 수트 [그레이],남성,아우터 > 슈트 > 블레이저 재킷,아우터,002,슈트/블레이저 재킷,002003,,,,,https://goods-detail.musinsa.com/api2/goods/4800605
musinsa,6719352,[여름 기획 원단] 커브드 배럴 데님 팬츠 (BLACK),남성,바지 > 데님 팬츠,바지,003,데님 팬츠,003002,,,,,https://goods-detail.musinsa.com/api2/goods/6719352
musinsa,6724257,1755 SOFT WHITE JEANS [WIDE FLARE],남성,바지 > 데님 팬츠,바지,003,데님 팬츠,003002,,,,,https://goods-detail.musinsa.com/api2/goods/6724257
musinsa,6609200,썸머 와이드 커브드 린넨 라이크 팬츠[2COLORS],남성|여성,바지 > 코튼 팬츠,바지,003,코튼 팬츠,003007,,,,,https://goods-detail.musinsa.com/api2/goods/6609200
musinsa,2578996,[여름원단추가]더블턱 와이드 슬랙스[블랙],남성|여성,바지 > 슈트 팬츠 > 슬랙스,바지,003,슈트 팬츠/슬랙스,003008,,,,,https://goods-detail.musinsa.com/api2/goods/2578996
musinsa,6829724,워시드 레귤러 워크 팬츠_Blue,남성,바지 > 기타 하의,바지,003,기타 하의,003006,,,,,https://goods-detail.musinsa.com/api2/goods/6829724
