source,product_key,observed_id,queue_audience,product_name,audience,accepted_for_audience_quota,category_path,depth1_name,depth1_code,depth2_name,depth2_code,depth3_name,depth3_code,depth4_name,depth4_code,evidence_url,evidence_source,breadcrumb_evidence_json,unresolved_reason
uniqlo,E478456,E478456-000,BABY,,BABY,True,신생아(0개월~2세) > 레깅스 & 팬츠 > 레깅스,신생아(0개월~2세),57980,레깅스 & 팬츠,58105,레깅스,58689,,,https://www.uniqlo.com/kr/ko/products/E478456-000/00,uniqlo_hydration,"[{""role"":""gender"",""id"":""57925"",""name"":""baby"",""locale"":""BABY"",""level"":1,""raw_order"":0},{""role"":""class"",""id"":""57980"",""name"":""newborn"",""locale"":""신생아(0개월~2세)"",""level"":2,""raw_order"":1},{""role"":""category"",""id"":""58105"",""name"":""pants and leggings"",""locale"":""레깅스 & 팬츠"",""level"":3,""raw_order"":2},{""role"":""subcategory"",""id"":""58689"",""name"":""leggings"",""locale"":""레깅스"",""level"":4,""raw_order"":3}]",
uniqlo,E448045,E448045-000,MEN,,MEN,True,아우터 > 감탄 재킷 > 감탄 재킷 (CUSTOM ORDER),아우터,57966,감탄 재킷,58036,감탄 재킷 (CUSTOM ORDER),116908,,,https://www.uniqlo.com/kr/ko/products/E448045-000/00,uniqlo_hydration,"[{""role"":""gender"",""id"":""57893"",""name"":""men"",""locale"":""MEN"",""level"":1,""raw_order"":0},{""role"":""class"",""id"":""57966"",""name"":""outerwear"",""locale"":""아우터"",""level"":2,""raw_order"":1},{""role"":""category"",""id"":""58036"",""name"":""gamtan jackets"",""locale"":""감탄 재킷"",""level"":3,""raw_order"":2},{""role"":""subcategory"",""id"":""116908"",""name"":""uniqlo custom order"",""locale"":""감탄 재킷 (CUSTOM ORDER)"",""level"":4,""raw_order"":3}]",
uniqlo,E457911,E457911-000,WOMEN,,WOMEN,True,이너웨어 > 에어리즘 > 캐미솔,이너웨어,57963,에어리즘,58018,캐미솔,58275,,,https://www.uniqlo.com/kr/ko/products/E457911-000/00,uniqlo_hydration,"[{""role"":""gender"",""id"":""57892"",""name"":""women"",""locale"":""WOMEN"",""level"":1,""raw_order"":0},{""role"":""class"",""id"":""57963"",""name"":""innerwear"",""locale"":""이너웨어"",""level"":2,""raw_order"":1},{""role"":""category"",""id"":""58018"",""name"":""airism"",""locale"":""에어리즘"",""level"":3,""raw_order"":2},{""role"":""subcategory"",""id"":""58275"",""name"":""camisole"",""locale"":""캐미솔"",""level"":4,""raw_order"":3}]",
uniqlo,E478610,E478610-000,KIDS,,KIDS,True,이너웨어 > 양말 > 쇼트삭스,이너웨어,57978,양말,58096,쇼트삭스,58654,,,https://www.uniqlo.com/kr/ko/products/E478610-000/00,uniqlo_hydration,"[{""role"":""gender"",""id"":""57894"",""name"":""kids"",""locale"":""KIDS"",""level"":1,""raw_order"":0},{""role"":""class"",""id"":""57978"",""name"":""innerwear"",""locale"":""이너웨어"",""level"":2,""raw_order"":1},{""role"":""category"",""id"":""58096"",""name"":""socks"",""locale"":""양말"",""level"":3,""raw_order"":2},{""role"":""subcategory"",""id"":""58654"",""name"":""short socks"",""locale"":""쇼트삭스"",""level"":4,""raw_order"":3}]",
uniqlo,E481761,E481761-000,BABY,,BABY,True,신생아(0개월~2세) > 바디수트 > 코튼메쉬,신생아(0개월~2세),57980,바디수트,58102,코튼메쉬,58673,,,https://www.uniqlo.com/kr/ko/products/E481761-000/00,uniqlo_hydration,"[{""role"":""gender"",""id"":""57925"",""name"":""baby"",""locale"":""BABY"",""level"":1,""raw_order"":0},{""role"":""class"",""id"":""57980"",""name"":""newborn"",""locale"":""신생아(0개월~2세)"",""level"":2,""raw_order"":1},{""role"":""category"",""id"":""58102"",""name"":""bodysuits"",""locale"":""바디수트"",""level"":3,""raw_order"":2},{""role"":""subcategory"",""id"":""58673"",""name"":""cotton mesh"",""locale"":""코튼메쉬"",""level"":4,""raw_order"":3}]",
uniqlo,E450179,E450179-000,MEN,,MEN,True,티셔츠 & 스웨트셔츠 & UT > 티셔츠 (반팔 & 긴팔) > 긴팔,티셔츠 & 스웨트셔츠 & UT,57967,티셔츠 (반팔 & 긴팔),58039,긴팔,58394,,,https://www.uniqlo.com/kr/ko/products/E450179-000/00,uniqlo_hydration,"[{""role"":""gender"",""id"":""57893"",""name"":""men"",""locale"":""MEN"",""level"":1,""raw_order"":0},{""role"":""class"",""id"":""57967"",""name"":""tops"",""locale"":""티셔츠 & 스웨트셔츠 & UT"",""level"":2,""raw_order"":1},{""role"":""category"",""id"":""58039"",""name"":""t shirts"",""locale"":""티셔츠 (반팔 & 긴팔)"",""level"":3,""raw_order"":2},{""role"":""subcategory"",""id"":""58394"",""name"":""long sleeve"",""locale"":""긴팔"",""level"":4,""raw_order"":3}]",
uniqlo,E457912,E457912-000,WOMEN,,WOMEN,True,이너웨어 > 에어리즘 > 탱크탑,이너웨어,57963,에어리즘,58018,탱크탑,58274,,,https://www.uniqlo.com/kr/ko/products/E457912-000/00,uniqlo_hydration,"[{""role"":""gender"",""id"":""57892"",""name"":""women"",""locale"":""WOMEN"",""level"":1,""raw_order"":0},{""role"":""class"",""id"":""57963"",""name"":""innerwear"",""locale"":""이너웨어"",""level"":2,""raw_order"":1},{""role"":""category"",""id"":""58018"",""name"":""airism"",""locale"":""에어리즘"",""level"":3,""raw_order"":2},{""role"":""subcategory"",""id"":""58274"",""name"":""tank top"",""locale"":""탱크탑"",""level"":4,""raw_order"":3}]",
uniqlo,E478617,E478617-000,KIDS,,KIDS,True,이너웨어 > 양말 > 레귤러삭스,이너웨어,57978,양말,58096,레귤러삭스,58653,,,https://www.uniqlo.com/kr/ko/products/E478617-000/00,uniqlo_hydration,"[{""role"":""gender"",""id"":""57894"",""name"":""kids"",""locale"":""KIDS"",""level"":1,""raw_order"":0},{""role"":""class"",""id"":""57978"",""name"":""innerwear"",""locale"":""이너웨어"",""level"":2,""raw_order"":1},{""role"":""category"",""id"":""58096"",""name"":""socks"",""locale"":""양말"",""level"":3,""raw_order"":2},{""role"":""subcategory"",""id"":""58653"",""name"":""regular socks"",""locale"":""레귤러삭스"",""level"":4,""raw_order"":3}]",
uniqlo,E481761,E481761-001,BABY,,BABY,True,신생아(0개월~2세) > 바디수트 > 코튼메쉬,신생아(0개월~2세),57980,바디수트,58102,코튼메쉬,58673,,,https://www.uniqlo.com/kr/ko/products/E481761-001/00,uniqlo_hydration,"[{""role"":""gender"",""id"":""57925"",""name"":""baby"",""locale"":""BABY"",""level"":1,""raw_order"":0},{""role"":""class"",""id"":""57980"",""name"":""newborn"",""locale"":""신생아(0개월~2세)"",""level"":2,""raw_order"":1},{""role"":""category"",""id"":""58102"",""name"":""bodysuits"",""locale"":""바디수트"",""level"":3,""raw_order"":2},{""role"":""subcategory"",""id"":""58673"",""name"":""cotton mesh"",""locale"":""코튼메쉬"",""level"":4,""raw_order"":3}]",
uniqlo,E450251,E450251-000,MEN,,MEN,True,팬츠 > 치노 팬츠 > 슬림,팬츠,57968,치노 팬츠,58047,슬림,58446,,,https://www.uniqlo.com/kr/ko/products/E450251-000/00,uniqlo_hydration,"[{""role"":""gender"",""id"":""57893"",""name"":""men"",""locale"":""MEN"",""level"":1,""raw_order"":0},{""role"":""class"",""id"":""57968"",""name"":""bottoms"",""locale"":""팬츠"",""level"":2,""raw_order"":1},{""role"":""category"",""id"":""58047"",""name"":""chinos"",""locale"":""치노 팬츠"",""level"":3,""raw_order"":2},{""role"":""subcategory"",""id"":""58446"",""name"":""slim"",""locale"":""슬림"",""level"":4,""raw_order"":3}]",
