source,product_key,observed_id,queue_audience,product_name,audience,accepted_for_audience_quota,category_path,depth1_name,depth1_code,depth2_name,depth2_code,depth3_name,depth3_code,depth4_name,depth4_code,evidence_url,evidence_source,breadcrumb_evidence_json,unresolved_reason
uniqlo,E475386,E475386-000,MEN,,MEN,True,스포츠 유틸리티 웨어 > 팬츠 > 울트라 스트레치 팬츠,스포츠 유틸리티 웨어,57969,팬츠,58058,울트라 스트레치 팬츠,112643,,,https://www.uniqlo.com/kr/ko/products/E475386-000/00,uniqlo_hydration,"[{""role"":""gender"",""id"":""57893"",""name"":""men"",""locale"":""MEN"",""level"":1,""raw_order"":0},{""role"":""class"",""id"":""57969"",""name"":""sport utility wear"",""locale"":""스포츠 유틸리티 웨어"",""level"":2,""raw_order"":1},{""role"":""category"",""id"":""58058"",""name"":""pants"",""locale"":""팬츠"",""level"":3,""raw_order"":2},{""role"":""subcategory"",""id"":""112643"",""name"":""ultra stretch"",""locale"":""울트라 스트레치 팬츠"",""level"":4,""raw_order"":3}]",
uniqlo,E470143,E470143-000,WOMEN,,WOMEN,True,티셔츠 & UT > 티셔츠 (반팔 & 긴팔) > 긴팔,티셔츠 & UT,57959,티셔츠 (반팔 & 긴팔),57995,긴팔,58142,,,https://www.uniqlo.com/kr/ko/products/E470143-000/00,uniqlo_hydration,"[{""role"":""gender"",""id"":""57892"",""name"":""women"",""locale"":""WOMEN"",""level"":1,""raw_order"":0},{""role"":""class"",""id"":""57959"",""name"":""tops"",""locale"":""티셔츠 & UT"",""level"":2,""raw_order"":1},{""role"":""category"",""id"":""57995"",""name"":""t shirts"",""locale"":""티셔츠 (반팔 & 긴팔)"",""level"":3,""raw_order"":2},{""role"":""subcategory"",""id"":""58142"",""name"":""long sleeve"",""locale"":""긴팔"",""level"":4,""raw_order"":3}]",
uniqlo,E483351,E483351-000,KIDS,,KIDS,True,티셔츠 & UT > 티셔츠 (반팔 & 긴팔) > 그래픽 티셔츠,티셔츠 & UT,57974,티셔츠 (반팔 & 긴팔),58078,그래픽 티셔츠,94366,,,https://www.uniqlo.com/kr/ko/products/E483351-000/00,uniqlo_hydration,"[{""role"":""gender"",""id"":""57894"",""name"":""kids"",""locale"":""KIDS"",""level"":1,""raw_order"":0},{""role"":""class"",""id"":""57974"",""name"":""tops"",""locale"":""티셔츠 & UT"",""level"":2,""raw_order"":1},{""role"":""category"",""id"":""58078"",""name"":""t shirts"",""locale"":""티셔츠 (반팔 & 긴팔)"",""level"":3,""raw_order"":2},{""role"":""subcategory"",""id"":""94366"",""name"":""ut"",""locale"":""그래픽 티셔츠"",""level"":4,""raw_order"":3}]",
uniqlo,E476225,E476225-000,MEN,,WOMEN,True,팬츠 > 스웨트 팬츠 & 조거 팬츠 > 유니섹스,팬츠,57960,스웨트 팬츠 & 조거 팬츠,58005,유니섹스,63086,,,https://www.uniqlo.com/kr/ko/products/E476225-000/00,uniqlo_hydration,"[{""role"":""gender"",""id"":""57892"",""name"":""women"",""locale"":""WOMEN"",""level"":1,""raw_order"":0},{""role"":""class"",""id"":""57960"",""name"":""bottoms"",""locale"":""팬츠"",""level"":2,""raw_order"":1},{""role"":""category"",""id"":""58005"",""name"":""sweat pants"",""locale"":""스웨트 팬츠 & 조거 팬츠"",""level"":3,""raw_order"":2},{""role"":""subcategory"",""id"":""63086"",""name"":""unisex"",""locale"":""유니섹스"",""level"":4,""raw_order"":3}]",
uniqlo,E480054,E480054-000,WOMEN,,WOMEN,True,티셔츠 & UT > 티셔츠 (반팔 & 긴팔) > 반팔,티셔츠 & UT,57959,티셔츠 (반팔 & 긴팔),57995,반팔,58144,,,https://www.uniqlo.com/kr/ko/products/E480054-000/00,uniqlo_hydration,"[{""role"":""gender"",""id"":""57892"",""name"":""women"",""locale"":""WOMEN"",""level"":1,""raw_order"":0},{""role"":""class"",""id"":""57959"",""name"":""tops"",""locale"":""티셔츠 & UT"",""level"":2,""raw_order"":1},{""role"":""category"",""id"":""57995"",""name"":""t shirts"",""locale"":""티셔츠 (반팔 & 긴팔)"",""level"":3,""raw_order"":2},{""role"":""subcategory"",""id"":""58144"",""name"":""half sleeve"",""locale"":""반팔"",""level"":4,""raw_order"":3}]",
uniqlo,E483352,E483352-000,KIDS,,KIDS,True,티셔츠 & UT > 티셔츠 (반팔 & 긴팔) > 그래픽 티셔츠,티셔츠 & UT,57974,티셔츠 (반팔 & 긴팔),58078,그래픽 티셔츠,94366,,,https://www.uniqlo.com/kr/ko/products/E483352-000/00,uniqlo_hydration,"[{""role"":""gender"",""id"":""57894"",""name"":""kids"",""locale"":""KIDS"",""level"":1,""raw_order"":0},{""role"":""class"",""id"":""57974"",""name"":""tops"",""locale"":""티셔츠 & UT"",""level"":2,""raw_order"":1},{""role"":""category"",""id"":""58078"",""name"":""t shirts"",""locale"":""티셔츠 (반팔 & 긴팔)"",""level"":3,""raw_order"":2},{""role"":""subcategory"",""id"":""94366"",""name"":""ut"",""locale"":""그래픽 티셔츠"",""level"":4,""raw_order"":3}]",
uniqlo,E478702,E478702-000,MEN,,MEN,True,GU > 팬츠 > 팬츠,GU,124425,팬츠,124432,팬츠,124450,,,https://www.uniqlo.com/kr/ko/products/E478702-000/00,uniqlo_hydration,"[{""role"":""gender"",""id"":""57893"",""name"":""men"",""locale"":""MEN"",""level"":1,""raw_order"":0},{""role"":""class"",""id"":""124425"",""name"":""gu"",""locale"":""GU"",""level"":2,""raw_order"":1},{""role"":""category"",""id"":""124432"",""name"":""bottoms"",""locale"":""팬츠"",""level"":3,""raw_order"":2},{""role"":""subcategory"",""id"":""124450"",""name"":""pants"",""locale"":""팬츠"",""level"":4,""raw_order"":3}]",
uniqlo,E480302,E480302-000,WOMEN,,WOMEN,True,팬츠 > 쇼트 팬츠(반바지) > 스코츠,팬츠,57960,쇼트 팬츠(반바지),58010,스코츠,96370,,,https://www.uniqlo.com/kr/ko/products/E480302-000/00,uniqlo_hydration,"[{""role"":""gender"",""id"":""57892"",""name"":""women"",""locale"":""WOMEN"",""level"":1,""raw_order"":0},{""role"":""class"",""id"":""57960"",""name"":""bottoms"",""locale"":""팬츠"",""level"":2,""raw_order"":1},{""role"":""category"",""id"":""58010"",""name"":""short pants"",""locale"":""쇼트 팬츠(반바지)"",""level"":3,""raw_order"":2},{""role"":""subcategory"",""id"":""96370"",""name"":""skort"",""locale"":""스코츠"",""level"":4,""raw_order"":3}]",
uniqlo,E483373,E483373-000,KIDS,,KIDS,True,티셔츠 & UT > 그래픽티셔츠 > mofusand,티셔츠 & UT,57974,그래픽티셔츠,58081,mofusand,136135,,,https://www.uniqlo.com/kr/ko/products/E483373-000/00,uniqlo_hydration,"[{""role"":""gender"",""id"":""57894"",""name"":""kids"",""locale"":""KIDS"",""level"":1,""raw_order"":0},{""role"":""class"",""id"":""57974"",""name"":""tops"",""locale"":""티셔츠 & UT"",""level"":2,""raw_order"":1},{""role"":""category"",""id"":""58081"",""name"":""ut graphic tees"",""locale"":""그래픽티셔츠"",""level"":3,""raw_order"":2},{""role"":""subcategory"",""id"":""136135"",""name"":""mofusand 26ss"",""locale"":""mofusand"",""level"":4,""raw_order"":3}]",
uniqlo,E481582,E481582-000,MEN,,MEN,True,팬츠 > 쇼트 팬츠(반바지) > 이지(허리 밴딩),팬츠,57968,쇼트 팬츠(반바지),58054,이지(허리 밴딩),58475,,,https://www.uniqlo.com/kr/ko/products/E481582-000/00,uniqlo_hydration,"[{""role"":""gender"",""id"":""57893"",""name"":""men"",""locale"":""MEN"",""level"":1,""raw_order"":0},{""role"":""class"",""id"":""57968"",""name"":""bottoms"",""locale"":""팬츠"",""level"":2,""raw_order"":1},{""role"":""category"",""id"":""58054"",""name"":""short pants"",""locale"":""쇼트 팬츠(반바지)"",""level"":3,""raw_order"":2},{""role"":""subcategory"",""id"":""58475"",""name"":""easy"",""locale"":""이지(허리 밴딩)"",""level"":4,""raw_order"":3}]",
uniqlo,E482286,E482286-000,WOMEN,,WOMEN,True,원피스 & 스커트 > 스커트 > 플레어,원피스 & 스커트,57961,스커트,58012,플레어,58247,,,https://www.uniqlo.com/kr/ko/products/E482286-000/00,uniqlo_hydration,"[{""role"":""gender"",""id"":""57892"",""name"":""women"",""locale"":""WOMEN"",""level"":1,""raw_order"":0},{""role"":""class"",""id"":""57961"",""name"":""dress and skirts"",""locale"":""원피스 & 스커트"",""level"":2,""raw_order"":1},{""role"":""category"",""id"":""58012"",""name"":""skirts"",""locale"":""스커트"",""level"":3,""raw_order"":2},{""role"":""subcategory"",""id"":""58247"",""name"":""flare skirts"",""locale"":""플레어"",""level"":4,""raw_order"":3}]",
uniqlo,E483377,E483377-000,KIDS,,KIDS,True,티셔츠 & UT > 티셔츠 (반팔 & 긴팔) > 반팔,티셔츠 & UT,57974,티셔츠 (반팔 & 긴팔),58078,반팔,58585,,,https://www.uniqlo.com/kr/ko/products/E483377-000/00,uniqlo_hydration,"[{""role"":""gender"",""id"":""57894"",""name"":""kids"",""locale"":""KIDS"",""level"":1,""raw_order"":0},{""role"":""class"",""id"":""57974"",""name"":""tops"",""locale"":""티셔츠 & UT"",""level"":2,""raw_order"":1},{""role"":""category"",""id"":""58078"",""name"":""t shirts"",""locale"":""티셔츠 (반팔 & 긴팔)"",""level"":3,""raw_order"":2},{""role"":""subcategory"",""id"":""58585"",""name"":""short sleeve"",""locale"":""반팔"",""level"":4,""raw_order"":3}]",
uniqlo,E481583,E481583-000,MEN,,MEN,True,라운지 팬츠 > 라운지 팬츠 > 쇼트 팬츠,라운지 팬츠,57971,라운지 팬츠,58067,쇼트 팬츠,58545,,,https://www.uniqlo.com/kr/ko/products/E481583-000/00,uniqlo_hydration,"[{""role"":""gender"",""id"":""57893"",""name"":""men"",""locale"":""MEN"",""level"":1,""raw_order"":0},{""role"":""class"",""id"":""57971"",""name"":""loungewear and homeware"",""locale"":""라운지 팬츠"",""level"":2,""raw_order"":1},{""role"":""category"",""id"":""58067"",""name"":""lounge pants"",""locale"":""라운지 팬츠"",""level"":3,""raw_order"":2},{""role"":""subcategory"",""id"":""58545"",""name"":""shorts"",""locale"":""쇼트 팬츠"",""level"":4,""raw_order"":3}]",
uniqlo,E482658,E482658-000,WOMEN,,WOMEN,True,원피스 & 스커트 > 스커트 > 플리츠,원피스 & 스커트,57961,스커트,58012,플리츠,58246,,,https://www.uniqlo.com/kr/ko/products/E482658-000/00,uniqlo_hydration,"[{""role"":""gender"",""id"":""57892"",""name"":""women"",""locale"":""WOMEN"",""level"":1,""raw_order"":0},{""role"":""class"",""id"":""57961"",""name"":""dress and skirts"",""locale"":""원피스 & 스커트"",""level"":2,""raw_order"":1},{""role"":""category"",""id"":""58012"",""name"":""skirts"",""locale"":""스커트"",""level"":3,""raw_order"":2},{""role"":""subcategory"",""id"":""58246"",""name"":""pleated skirts"",""locale"":""플리츠"",""level"":4,""raw_order"":3}]",
